Region 	Source 	2MASS/SSTc2d 	RA 	Dec 	EDR3_plx 	EDR3_err_plx 	EDR3_RUWE 	EDR3_Dist_PPVII 	PM_EDR3_mas 	Disk 	Disk_Flag 	Observatory 	Freq_GHz 	Wavelength 	Beam_arcsec 	RMS_mJy/beam 	Survey_Ref 	Flux_mJy_Standardized 	Mdust_Mearth_Standardized 	Mdust_Mearth_PPVII 	Size_as 	eSize_as 	Hendler20_lR68 	Hendler20_R68_arcsec 	Hendler20_R68_au_DR3 	ref_spt 	Source_check 	Teff_HH14 	Lstar_DR3 	logLacc_DR3 	Mstar_B15_DR3 	logMacc_B15_DR3 	Mstar_S00_DR3 	logMacc_S00_DR3 	Mstar_Fei_DR3 	logMacc_Fei_DR3 	Mstar_PPVII 	logMacc_PPVII 	notes_Macc_PPVII
Lupus 	Sz65 	J15392776-3446171 	15:39:27.753 	-34:46:17.577 	6.5159 	0.0253 	1.417 	153.47 	[-13.218, -22.121] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.30, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[64.49, 29.94] 	[15.87, 21.19] 	21.19 	[, 0.43] 	[, 0.01] 	-- 	0.14 	21.4858 	Alcala+14,17,19 	Sz65 	4020 	0.869 	-2.58 	0.661 	-9.516 	0.725 	-9.556 	0.61 	-9.48 	0.61 	-9.48 	<
Lupus 	Sz66 	J15392828-3446180 	15:39:28.264 	-34:46:18.450 	6.4134 	0.0269 	1.200 	155.92 	[-13.124, -21.807] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.27, 0.13] 	[Ansdell+2016, Ansdell+2018] 	[14.78, 6.42] 	[3.75, 4.69] 	4.69 	[, ] 	[, ] 	< 	0.08 	12.4736 	Alcala+14,17,19 	Sz66 	3410 	0.216 	-1.767 	0.291 	-8.508 	0.3125 	-8.538 	0.31 	-8.54 	0.291 	-8.508 	--
Lupus 	J15430131-3409153 	J15430131-3409153 	15:43:01.290 	-34:09:15.400 	-- 	-- 	-- 	158 	[, ] 	F 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.39, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[ <0.93, <0.27] 	[ <0.24, <0.20] 	<0.20 	[, ] 	[, ] 	-- 	-- 	-- 	-- 	J15430131-3409153 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Lupus 	J15430227-3444059 	J15430227-3444059 	15:43:02.290 	-34:44:06.200 	-0.0997 	0.2261 	1.018 	158 	[-0.114, 0.037] 	F 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.34, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[ <0.81, <0.27] 	[ <0.21, <0.20] 	<0.20 	[, ] 	[, ] 	-- 	-- 	-- 	-- 	J15430227-3444059 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Lupus 	J15445789-3423392 	J15445789-3423392 	15:44:57.900 	-34:23:39.500 	6.4956 	0.0772 	1.201 	153.95 	[-18.940, -22.748] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.24, 0.10] 	[Ansdell+2016, Ansdell+2018] 	[ <0.54, <0.27] 	[ <0.13, <0.19] 	<0.19 	[, ] 	[, ] 	-- 	-- 	-- 	Alcala+14,17,19 	J15445789-3423392 	2980 	0.02 	-4.073 	0.087 	-10.68 	0.1 	-10.74 	0.09 	-10.7 	0.087 	-10.68 	--
Lupus 	J15450634-3417378 	J15450634-3417378 	15:45:06.322 	-34:17:38.332 	-- 	-- 	-- 	158 	[, ] 	F 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.34, 0.11] 	[Ansdell+2016, Ansdell+2018] 	[15.00, 6.18] 	[3.91, 4.64] 	4.64 	[, ] 	[, ] 	< 	0.08 	12.64 	-- 	J15450634-3417378 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Lupus 	J15450887-3417333 	J15450887-3417333 	15:45:08.852 	-34:17:33.835 	6.4595 	0.1448 	1.137 	154.81 	[-15.208, -22.202] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.40, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[46.27, 20.70] 	[11.59, 14.91] 	14.91 	[, ] 	[, ] 	-- 	0.12 	18.5772 	Alcala+14,17,19 	J15450887-3417333 	2920 	0.059 	-1.77 	0.092 	-8.156 	0.1 	-8.19 	0.09 	-8.14 	0.092 	-8.156 	--
Lupus 	Sz68 	J15451286-3417305 	15:45:12.849 	-34:17:31.071 	6.5157 	0.0548 	3.402 	158 	[-14.243, -21.780] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.61, 0.18] 	[Ansdell+2016, Ansdell+2018] 	[150.37, 66.38] 	[39.22, 49.80] 	49.8 	[, 0.25] 	[, 0.01] 	-- 	-- 	-- 	Alcala+14,17,19 	Sz68 	4710 	5.691 	-1.158 	nan 	nan 	1.9099 	-8.285 	1.32 	-8.12 	1.32 	-8.12 	<
Lupus 	Sz69 	J15451741-3418283 	15:45:17.391 	-34:18:28.685 	6.5548 	0.0689 	1.494 	152.56 	[-14.943, -22.579] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.24, 0.11] 	[Ansdell+2016, Ansdell+2018] 	[16.96, 8.05] 	[4.12, 5.63] 	5.63 	[, ] 	[, ] 	< 	0.06 	9.1536 	Alcala+14,17,19 	Sz69 	3085 	0.087 	-2.781 	0.15 	-9.344 	0.15 	-9.341 	0.13 	-9.28 	0.15 	-9.344 	--
Lupus 	Sz71 	J15464473-3430354 	15:46:44.709 	-34:30:36.054 	6.4432 	0.0172 	1.264 	155.20 	[-13.853, -23.352] 	II 	1 	[ALMA, ALMA] 	[335.8, 225.66] 	[0.890, 1.33] 	[0.34x0.28, 0.25x0.24] 	[0.37, 0.12] 	[Ansdell+2016, Ansdell+2018] 	[166.04, 69.15] 	[41.79, 50.06] 	50.06 	[, 0.63] 	[, 0.01] 	-- 	0.45 	69.84 	Alcala+14,17,19 	Sz71 	3640 	0.327 	-2.173 	0.414 	-9.033 	0.4275 	-9.047 	0.43 	-9.05 	0.414 	-9.033 	--
