# disc fraction as a function of time from Mamajek (2009)
# data compiled from Alexander & Armitage (2009), because the error bars were easier to read here
# disc lifetime (Myr),disc fraction (%),lower limit t_frac (%),upper limit t_frac (%)
0.29,84.89,77.03,92.95
1.00,83.12,71.92,93.93
1.49,79.98,75.06,85.09
1.99,79.09,65.04,80.96
1.49,52.85,46.76,58.75
2.00,54.82,49.12,68.18
2.00,54.03,39.88,60.52
3.20,51.87,41.84,61.89
2.50,39.88,29.85,50.10
3.99,38.89,32.80,44.99
2.99,26.51,23.76,29.46
6.00,29.36,16.09,42.43
4.01,12.95,9.61,16.49
4.99,14.32,10.98,17.47
5.01,13.24,10.79,15.70
5.01,5.87,3.91,7.84
5.01,4.89,2.92,6.86
8.00,10.59,4.50,16.68
8.50,5.97,3.71,8.23

