name group t dt Mstar Mdot dMdot1 dMdot2 f df citation
CVSO_40 OriOB1a 10.8 2.9 0.53 2.0 0.0 0.0 6 0 Thanathibodee2023
CVSO_298 OriOB1a 10.8 2.9 0.56 1.3 0.5 0.5 6 0 Thanathibodee2023
CVSO_156 OriOB1b 5.0 2.1 0.34 1.4 0.4 0.4 12 0 Thanathibodee2023
CVSO_1600E OriOB1b 5.0 2.1 0.27 2.3 0.5 0.5 12 0 Thanathibodee2023
CVSO_1600W OriOB1b 5.0 2.1 0.27 2.8 0.3 0.3 12 0 Thanathibodee2023
CVSO_1739 OriOB1b 5.0 2.1 0.1 1.7 0.2 0.2 12 0 Thanathibodee2023
CVSO_1772 OriOB1b 5.0 2.1 0.29 0.4 0.1 0.1 12 0 Thanathibodee2023
CVSO_1842 OriOB1b 5.0 2.1 0.32 1.0 0.4 0.4 12 0 Thanathibodee2023
CVSO_1886 OriOB1b 5.0 2.1 0.28 2.9 0.8 0.8 12 0 Thanathibodee2023
CVSO_1545 OriOB1b 5.0 2.1 0.17 1.4 0.4 0.4 12 0 Thanathibodee2023
CVSO_1295 Ori_Cloud_A 3.3 1.6 0.59 1.5 0.4 0.4 28 0 Thanathibodee2023
CVSO_1575 Ori_Cloud_A 3.3 1.6 0.57 1.0 0.2 0.2 28 0 Thanathibodee2023
CVSO_1711 Ori_Cloud_A 3.3 1.6 0.52 1.2 0.5 0.5 28 0 Thanathibodee2023
CVSO_1763 Ori_Cloud_A 3.3 1.6 1.09 3.8 0.6 0.6 28 0 Thanathibodee2023
CVSO_1928 Ori_Cloud_A 3.3 1.6 0.47 1.3 0.4 0.4 28 0 Thanathibodee2023
CVSO_1942 Ori_Cloud_B 2.45 1.3 0.72 1.3 0.4 0.4 31 0 Thanathibodee2023
ISO-ChaI_52 Chamaeleon_I 2 0.4 0.18 1.1 0.4 0.4 44 0 Thanathibodee2023
CHSM_13620 Chamaeleon_I 2 0.4 0.34 1.4 0.4 0.4 44 0 Thanathibodee2023
T10 Chamaeleon_I 2 0.4 0.23 6.025 0 0 44 0 Manara2017
Hn11 Chamaeleon_I 2 0.4 0.63 2.4 0 0 44 0 Manara2017
CHSM_1715 Chamaeleon_I 2 0.4 0.18 0.14454 0 0 44 0 Manara2017
ESO_Halpha_559 Chamaeleon_I 2 0.4 0.12 0.1622 0 0 44 0 Manara2017
CHSM_7869 Chamaeleon_I 2 0.4 0.07 0.087 0 0 44 0 Manara2017
J11065939 Chamaeleon_I 2 0.4 0.10 0.0759 0 0 44 0 Manara2017
CHA-Halpha-2 Chamaeleon_I 2 0.4 0.13 0.891 0 0 44 0 Manara2017
ISO_ChaI_147 Chamaeleon_I 2 0.4 0.11 0.071 0 0 44 0 Manara2017
T37 Chamaeleon_I 2 0.4 0.12 0.182 0 0 44 0 Manara2017
ISO-ChaI_165 Chamaeleon_I 2 0.4 0.12 0.224 0 0 44 0 Manara2017
C_1-6 Chamaeleon_I 2 0.4 0.58 2.884 0 0 44 0 Manara2017
ISO-ChaI_220 Chamaeleon_I 2 0.4 0.11 0.355 0 0 44 0 Manara2017
Hn_11 Chamaeleon_I 2 0.4 0.63 2.4 0 0 44 0 Manara2017
ISO-ChaI_235 Chamaeleon_I 2 0.4 0.13 0.11 0 0 44 0 Manara2017
ISO-ChaI_252 Chamaeleon_I 2 0.4 0.11 1.23 0 0 44 0 Manara2017
ISO-ChaI_256 Chamaelon_I 2 0.4 0.15 0.47863 0 0 44 0 Manara2017
Hn13 Chamaeleon_I 2 0.4 0.12 2.69 0 0 44 0 Manara2017
ISO-ChaI_282 Chamaeleon_I 2 0.4 0.14 1.28825 0 0 44 0 Manara2017
T50 Chamaeleon_I 2 0.4 0.17 4.57 0 0 44 0 Manara2017
CHXR79 Chamaeleon_I 2 0.4 0.62 8.91 0 0 44 0 Manara2017
Hn_10e Chamaeleon_I 2 0.4 0.34 3.09 0 0 44 0 Manara2017
ISO-ChaI_207 Chamaeleon_I 2 0.4 0.58 6.17 0 0 44 0 Manara2017
Sz33 Chamaeleon_I 2 0.4 0.56 4.467 0 0 44 0 Manara2017
J11241186 Chamaeleon_I 2 0.4 0.12 0.257 0.0 0.0 44 0 Manara2017
J16020757 Upper_Sco 11 1 0.32 0.7 0.3 0.3 21 1 Thanathibodee2023
J16253849 Upper_Sco 11 1 0.56 1.1 0.2 0.2 21 1 Thanathibodee2023
J15521088 Upper_Sco 11 1 0.09 5.01187234e-02 0.0 0.0 21 1 Fang2023
J15530132 Upper_Sco 11 1 0.12 4.89778819e-01 0.0 0.0 21 1 Fang2023
J15534211 Upper_Sco 11 1 0.19 1.14815362 0.0 0.0 21 1 Fang2023
J15570641 Upper_Sco 11 1 0.11 2.75422870e-01 0.0 0.0 21 1 Fang2023
J15572986 Upper_Sco 11 1 0.12 2.57039578e-01 0.0 0.0 21 1 Fang2023
J16014157 Upper_Sco 11 1 0.09 1.41253754 0.0 0.0 21 1 Fang2023
J16024152 Upper_Sco 11 1 0.09 1.14815362 0.0 0.0 21 1 Fang2023
J16032225 Upper_Sco 11 1 0.19 8.7096359 0.0 0.0 21 1 Fang2023
J16035767 Upper_Sco 11 1 0.81 5.12861384 0.0 0.0 21 1 Fang2023
J16053215 Upper_Sco 11 1 0.10 4.17 0.0 0.0 21 1 Fang2023
J16063539 Upper_Sco 11 1 0.08 0.1995 0.0 0.0 21 1 Fang2023
J16064102 Upper_Sco 11 1 0.09 2.29 0.0 0.0 21 1 Fang2023
J16064385 Upper_Sco 11 1 0.69 1.122 0.0 0.0 21 1 Fang2023
J16072625 Upper_Sco 11 1 0.19 2.4547 0.0 0.0 21 1 Fang2023
J16082751 Upper_Sco 11 1 0.11 1.73780083 0.0 0.0 21 1 Fang2023
J16095361 Upper_Sco 11 1 0.10 0.549540874 0.0 0.0 21 1 Fang2023
J16102819 Upper_Sco 11 1 0.08 0.158489319 0.0 0.0 21 1 Fang2023
J16104636 Upper_Sco 11 1 0.09 0.501187234 0.0 0.0 21 1 Fang2023
J16142029 Upper_Sco 11 1 0.67 9.12010839 0.0 0.0 21 1 Fang2023
J16143367 Upper_Sco 11 1 0.23 5.12861384 0.0 0.0 21 1 Fang2023
J16041893 Upper_Sco 11 1 0.29 6.02559586 0.0 0.0 21 1 Fang2023
J16064794 Upper_Sco 11 1 0.56 3.80189396 0.0 0.0 21 1 Fang2023
J16120505 Upper_Sco 11 1 0.37 3.16227766 0.0 0.0 21 1 Fang2023
J16120668 Upper_Sco 11 1 0.55 3.98107171 0.0 0.0 21 1 Fang2023
J16132190 Upper_Sco 11 1 0.25 3.09029543 0.0 0.0 21 1 Fang2023
J16153220 Upper_Sco 11 1 0.31 7.41310241 0.0 0.0 21 1 Fang2023
J16194711 Upper_Sco 11 1 0.16 0.501187234 0.0 0.0 21 1 Fang2023
J08074647 gamma_Vel 7.5 0.0 0.16 0.4 0.1 0.1 6 0 Thanathibodee2023
J08075546 gamma_Vel 7.5 0.0 1.15 1.4 0.4 0.4 6 0 Thanathibodee2023
SO682 sigma_Ori 3 0 0.46 1.3 0.2 0.2 36 4 Thanathibodee2023
